Subject,Chapter,Class
Physics,Math in Physics,11
Physics,Units and dimension,11
Physics,Motion in 1D,11
Physics,Motion in 2D,11
Physics,NLM,11
Physics,Work Power and Energy,11
Physics,COM and Collisiions,11
Physics,Rotational motion,11
Physics,Gravitation,11
Physics,Properties of solid,11
Physics,Properties of liquid,11
Physics,thermal properties,11
Physics,Thermodynamics,11
Physics,KTG,11
Physics,Oscillation,11
Physics,Waves and sound,11
Physics,Electrostatics,12
Physics,Capacitence,12
Physics,Current electricity,12
Physics,Magnetism and current,12
Physics,Magnetic properties,12
Physics,EMI,12
Physics,AC circuit,12
Physics,EM waves,12
Physics,Ray optics,12
Physics,wave optics,12
Physics,Dual nature,12
Physics,Atomic Physics,12
Physics,Nuclear Physics,12
Physics,Semiconducters,12
Chemistry,Mole concept,11
Chemistry,Atomic structure,11
Chemistry,Periodic table,11
Chemistry,Periodic table,11
Chemistry,Chmical bonding,11
Chemistry,States of matter,11
Chemistry,Thermodynamics,11
Chemistry,Chemical equillibrium,11
Chemistry,Ionic equillibrium,11
Chemistry,Redox reaction,11
Chemistry,Hydrogen,11
Chemistry,s-Block,11
Chemistry,p-Block,11
Chemistry,GOC,11
Chemistry,Hydrocarbon,11
Chemistry,Env. Chemistry,11
Chemistry,Solid state,12
Chemistry,Solution,12
Chemistry,Electro chemistry,12
Chemistry,Chemical Kinetics,12
Chemistry,Surface chemistry,12
Chemistry,Metallurgy,12
Chemistry,p-Block,12
Chemistry,d & f- block,12
Chemistry,Coordination compound,12
Chemistry,Coordination compound,12
Chemistry,Haloalkanes and Haloarenes,12
Chemistry,"Alcohols, Phenols & Ethers",12
Chemistry,Aldehydes & Ketones,12
Chemistry,Carboxylic Acids,12
Chemistry,Amines,12
Chemistry,Biomolecules,12
Chemistry,Polymers,12
Chemistry,Everyday Chemistry,12
