Bill,Date,Note
"UploadedFile(file_id='6ebbdd41-0714-4c96-8d0b-cb31bc0a4205', name='camera-input-2026-08-08T14_25_18.581Z.jpg', type='image/jpeg', size=303070, _file_urls=file_id: ""6ebbdd41-0714-4c96-8d0b-cb31bc0a4205""
upload_url: ""/_stcore/upload_file/ce02ad10-6131-495e-a06d-03e8b2a3cd2a/6ebbdd41-0714-4c96-8d0b-cb31bc0a4205""
delete_url: ""/_stcore/upload_file/ce02ad10-6131-495e-a06d-03e8b2a3cd2a/6ebbdd41-0714-4c96-8d0b-cb31bc0a4205""
)",2026-08-08 19:55:00,trial
bills/camera-input-2026-08-08T14_40_44.369Z.jpg,2026-08-08 20:14:00,
,2026-08-08 20:16:00,
bills/camera-input-2026-08-08T14_47_02.122Z.jpg,2026-08-08 20:17:00,
bills/camera-input-2026-08-11T10_00_00.953Z.jpg,2026-08-11 15:30:00,
,2026-08-09 12:22:00,dal khichdi
,2026-08-13 21:20:00,khichdi
,2026-08-14 20:30:00,Notebook
,2026-08-18 18:30:00,Swayam Skin Care
,2026-08-17 17:00:00,Flowers
,2026-08-21 20:30:00,Coke
